Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Condition,Mileage,Region,Price_Clean,Region_Type,Make_Origin,Car_Age
Mercedes,C,2015,Gulf Arabic,White,Semi Full,2.0,Gas,Automatic,Used,73000,Riyadh,451770000.0,Urban,Europe,9
Genesis,G80,2018,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,Used,75000,Riyadh,451770000.0,Urban,Korea,6
Jeep,Wrangler,2017,Gulf Arabic,Green,Full,3.6,Gas,Automatic,Used,42000,Riyadh,451770000.0,Urban,USA,7
Toyota,Furniture,2020,Saudi,White,Standard,2.7,Gas,Automatic,Used,1200,Jeddah,451770000.0,Urban,Japan,4
Genesis,Royal,2018,Saudi,Grey,Full,3.8,Gas,Automatic,Used,78000,Riyadh,451770000.0,Urban,Korea,6
Lincoln,Navigator,2015,Gulf Arabic,Black,Full,3.7,Gas,Automatic,Used,80000,Dammam,451770000.0,Urban,USA,9
Chevrolet,Tahoe,2016,Saudi,Brown,Standard,5.3,Gas,Automatic,Used,223000,Dammam,451770000.0,Urban,USA,8
Toyota,Furniture,2020,Saudi,White,Semi Full,2.7,Gas,Automatic,Used,25000,Dammam,451770000.0,Urban,Japan,4
Toyota,Hiace,2018,Saudi,White,Standard,2.7,Gas,Manual,Used,108000,Riyadh,451770000.0,Urban,Japan,6
Mercedes,S,2013,Saudi,Brown,Full,8.0,Gas,Automatic,Used,160000,Jeddah,451770000.0,Urban,Europe,11
Toyota,Prado,2016,Gulf Arabic,White,Full,3.8,Gas,Automatic,Used,168000,Riyadh,449716500.0,Urban,Japan,8
Mercedes,C,2015,Other,White,Full,2.0,Gas,Automatic,Used,82000,Dammam,447663000.0,Urban,Europe,9
Dodge,Charger,2018,Other,Blue,Semi Full,3.6,Gas,Automatic,Used,89000,Dammam,447663000.0,Urban,USA,6
Ford,Taurus,2019,Other,Grey,Full,3.5,Gas,Automatic,Used,32714,Riyadh,447663000.0,Urban,USA,5
Mitsubishi,Pajero,2018,Gulf Arabic,Black,Full,3.8,Gas,Automatic,Used,5000,Dammam,447663000.0,Urban,Japan,6
Chevrolet,Camaro,2017,Other,Silver,Full,3.6,Gas,Automatic,Used,99000,Dammam,447663000.0,Urban,USA,7
Dodge,Charger,2019,Gulf Arabic,White,Semi Full,3.6,Gas,Automatic,Used,55000,Dammam,447663000.0,Urban,USA,5
Toyota,Prado,2014,Saudi,Silver,Full,4.0,Gas,Automatic,Used,121000,Jeddah,447663000.0,Urban,Japan,10
Toyota,Land Cruiser,2012,Saudi,Grey,Full,1.0,Gas,Automatic,Used,448000,Riyadh,447663000.0,Urban,Japan,12
Genesis,G70,2019,Saudi,Grey,Semi Full,2.0,Gas,Automatic,Used,11000,Riyadh,447663000.0,Urban,Korea,5
Toyota,Land Cruiser 70,2018,Saudi,White,Standard,4.0,Gas,Manual,Used,86852,Riyadh,447663000.0,Urban,Japan,6
Toyota,Prado,2016,Gulf Arabic,White,Full,4.0,Gas,Automatic,Used,168000,Riyadh,447663000.0,Urban,Japan,8
Dodge,Charger,2016,Other,Grey,Full,5.7,Gas,Automatic,Used,123000,Riyadh,447663000.0,Urban,USA,8
Dodge,Charger,2016,Other,Another Color,Semi Full,5.7,Gas,Automatic,Used,100000,Dammam,447663000.0,Urban,USA,8
Dodge,Charger,2016,Other,Another Color,Full,5.7,Gas,Automatic,Used,100000,Dammam,447663000.0,Urban,USA,8
Dodge,Challenger,2018,Other,Black,Full,3.6,Gas,Automatic,Used,90000,Dammam,447663000.0,Urban,USA,6
Chevrolet,Camaro,2018,Other,Silver,Full,3.6,Gas,Automatic,Used,89000,Dammam,447663000.0,Urban,USA,6
Toyota,Ciocca,2016,Saudi,White,Semi Full,5.7,Gas,Automatic,Used,92000,Dammam,443556000.0,Urban,Japan,8
Dodge,Charger,2019,Saudi,Blue,Semi Full,3.6,Gas,Automatic,Used,56000,Al-Medina,443556000.0,Urban,USA,5
Toyota,Prado,2016,Saudi,White,Semi Full,4.0,Gas,Automatic,Used,201000,Riyadh,443556000.0,Urban,Japan,8
Toyota,Prado,2016,Saudi,White,Semi Full,4.0,Gas,Automatic,Used,167860,Hafar Al-Batin,443556000.0,Suburban,Japan,8
Lexus,ES,2016,Gulf Arabic,White,Semi Full,3.0,Gas,Automatic,Used,72000,Riyadh,443556000.0,Urban,Japan,8
Mercedes,C,2015,Gulf Arabic,White,Semi Full,2.0,Gas,Automatic,Used,173000,Riyadh,443556000.0,Urban,Europe,9
Chevrolet,Caprice,2015,Saudi,Black,Full,6.0,Gas,Automatic,Used,172000,Riyadh,443556000.0,Urban,USA,9
Cadillac,XT5,2017,Saudi,Silver,Full,3.6,Gas,Automatic,Used,183000,Riyadh,443556000.0,Urban,USA,7
Lexus,IS,2016,Other,White,Full,3.5,Gas,Automatic,Used,96000,Dammam,443556000.0,Urban,Japan,8
Kia,Cadenza,2020,Saudi,Silver,Standard,3.5,Gas,Automatic,Used,5000,Jeddah,443556000.0,Urban,Korea,4
Ford,F150,2019,Saudi,Brown,Semi Full,5.4,Gas,Automatic,Used,13000,Dammam,443556000.0,Urban,USA,5
Jeep,Wrangler,2018,Saudi,White,Full,3.0,Gas,Automatic,Used,70000,Dammam,443556000.0,Urban,USA,6
Lexus,IS,2016,Other,White,Full,2.0,Gas,Automatic,Used,96000,Dammam,443556000.0,Urban,Japan,8
Audi,A8,2013,Other,Black,Full,4.0,Gas,Automatic,Used,100000,Riyadh,443556000.0,Urban,Europe,11
Chevrolet,Tahoe,2016,Saudi,Brown,Standard,5.3,Gas,Automatic,Used,194000,Dammam,443556000.0,Urban,USA,8
Ford,Expedition,2017,Gulf Arabic,White,Full,5.4,Gas,Automatic,Used,34000,Riyadh,443556000.0,Urban,USA,7
Mercedes,C,2016,Other,Grey,Full,2.0,Gas,Automatic,Used,186000,Makkah,443556000.0,Urban,Europe,8
Toyota,Prado,2017,Saudi,Another Color,Semi Full,2.7,Gas,Automatic,Used,175000,Riyadh,443556000.0,Urban,Japan,7
Dodge,Charger,2017,Other,Grey,Semi Full,5.7,Gas,Automatic,Used,141000,Riyadh,443556000.0,Urban,USA,7
Chevrolet,Tahoe,2017,Saudi,Silver,Standard,5.3,Gas,Automatic,Used,136000,Jeddah,443556000.0,Urban,USA,7
Dodge,Charger,2017,Other,Black,Full,3.6,Gas,Automatic,Used,101000,Dammam,439449000.0,Urban,USA,7
Chevrolet,Camaro,2016,Other,Blue,Full,3.6,Gas,Automatic,Used,118993,Riyadh,439449000.0,Urban,USA,8
Honda,Accord,2019,Gulf Arabic,Silver,Full,1.5,Gas,Automatic,Used,8200,Dammam,439449000.0,Urban,Japan,5
Mercedes,C,2015,Other,White,Full,2.0,Gas,Automatic,Used,90000,Dammam,439449000.0,Urban,Europe,9
BMW,The 7,2015,Saudi,Grey,Full,3.0,Gas,Automatic,Used,110000,Jeddah,439449000.0,Urban,Europe,9
Toyota,Prado,2016,Saudi,White,Semi Full,4.0,Gas,Automatic,Used,201000,Riyadh,439449000.0,Urban,Japan,8
Chevrolet,Tahoe,2017,Saudi,Grey,Standard,5.3,Gas,Automatic,Used,136517,Jeddah,439449000.0,Urban,USA,7
Toyota,Furniture,2019,Saudi,White,Semi Full,2.7,Gas,Automatic,Used,37000,Dammam,439449000.0,Urban,Japan,5
Chevrolet,Silverado,2017,Gulf Arabic,Silver,Full,5.3,Gas,Automatic,Used,110000,Riyadh,439449000.0,Urban,USA,7
Nissan,Sylvian Bus,2018,Saudi,White,Full,3.0,Gas,Manual,Used,3000,Riyadh,439449000.0,Urban,Japan,6
Chevrolet,Caprice,2014,Saudi,White,Standard,6.0,Gas,Automatic,Used,35481,Riyadh,437395500.0,Urban,USA,10
Toyota,Avalon,2017,Saudi,Grey,Full,3.5,Gas,Automatic,Used,104159,Riyadh,437395500.0,Urban,Japan,7
Mazda,6,2021,Saudi,Silver,Full,2.5,Gas,Automatic,Used,14500,Jeddah,435342000.0,Urban,Japan,3
Kia,Carnival,2020,Saudi,Grey,Standard,3.3,Gas,Automatic,Used,200,Jeddah,435342000.0,Urban,Korea,4
Mercedes,E,2016,Gulf Arabic,White,Full,3.0,Gas,Automatic,Used,114000,Riyadh,435342000.0,Urban,Europe,8
Toyota,Camry,2018,Saudi,Red,Full,3.5,Gas,Automatic,Used,24000,Riyadh,435342000.0,Urban,Japan,6
Nissan,VTC,2016,Saudi,Bronze,Standard,4.0,Gas,Automatic,Used,112000,Dammam,435342000.0,Urban,Japan,8
Ford,Explorer,2016,Other,White,Full,3.6,Gas,Automatic,Used,151000,Dammam,435342000.0,Urban,USA,8
Chevrolet,Camaro,2016,Other,Red,Full,3.6,Gas,Automatic,Used,94000,Dammam,435342000.0,Urban,USA,8
Toyota,Furniture,2017,Saudi,White,Semi Full,4.0,Gas,Automatic,Used,37800,Jeddah,435342000.0,Urban,Japan,7
Lexus,IS,2015,Other,White,Full,3.5,Gas,Automatic,Used,132000,Dammam,435342000.0,Urban,Japan,9
Toyota,Hilux,2020,Gulf Arabic,White,Full,2.7,Gas,Manual,Used,15000,Riyadh,433288500.0,Urban,Japan,4
Toyota,Hilux,2020,Gulf Arabic,White,Semi Full,2.7,Gas,Manual,Used,15000,Riyadh,431235000.0,Urban,Japan,4
Mercedes,C,2016,Saudi,Silver,Semi Full,2.0,Gas,Automatic,Used,140000,Dammam,431235000.0,Urban,Europe,8
Jeep,Wrangler,2015,Saudi,Black,Full,3.5,Gas,Automatic,Used,27956,Jeddah,431235000.0,Urban,USA,9
Toyota,FJ,2017,Gulf Arabic,Blue,Full,4.0,Gas,Automatic,Used,158200,Jazan,431235000.0,Suburban,Japan,7
Mercedes,E,2018,Gulf Arabic,Black,Semi Full,2.0,Gas,Automatic,Used,250000,Jeddah,431235000.0,Urban,Europe,6
Lexus,ES,2017,Gulf Arabic,Black,Full,3.5,Gas,Automatic,Used,100000,Riyadh,431235000.0,Urban,Japan,7
GMC,Sierra,2015,Saudi,Silver,Standard,5.3,Gas,Automatic,Used,77000,Dammam,431235000.0,Urban,USA,9
Toyota,Land Cruiser Pickup,2018,Saudi,Another Color,Standard,4.0,Gas,Manual,Used,98000,Riyadh,431235000.0,Urban,Japan,6
BMW,X,2014,Saudi,White,Full,5.0,Gas,Automatic,Used,138000,Riyadh,431235000.0,Urban,Europe,10
Ford,Edge,2017,Gulf Arabic,White,Full,1.7,Gas,Automatic,Used,60000,Al-Ahsa,431235000.0,Suburban,USA,7
MG,RX8,2021,Saudi,White,Full,2.0,Gas,Automatic,Used,4000,Aseer,431235000.0,Suburban,China,3
Toyota,Prado,2015,Saudi,White,Semi Full,4.0,Gas,Automatic,Used,160000,Aseer,431235000.0,Suburban,Japan,9
GMC,Sierra,2017,Saudi,Silver,Full,5.3,Gas,Automatic,Used,166,Aseer,431235000.0,Suburban,USA,7
Dodge,Charger,2015,Other,Blue,Full,5.7,Gas,Automatic,Used,119000,Dammam,431235000.0,Urban,USA,9
Toyota,Land Cruiser,2013,Gulf Arabic,White,Semi Full,4.6,Gas,Automatic,Used,240000,Riyadh,431235000.0,Urban,Japan,11
BMW,The 7,2015,Saudi,Another Color,Full,3.5,Gas,Automatic,Used,110000,Jeddah,431235000.0,Urban,Europe,9
Toyota,Furniture,2019,Saudi,White,Full,4.0,Gas,Automatic,Used,113000,Riyadh,431235000.0,Urban,Japan,5
Ford,Explorer,2016,Saudi,Navy,Standard,3.5,Gas,Automatic,Used,87300,Riyadh,431235000.0,Urban,USA,8
Audi,A3,2020,Saudi,Red,Semi Full,1.7,Gas,Automatic,Used,6000,Jeddah,431235000.0,Urban,Europe,4
Lexus,ES,2016,Saudi,Grey,Semi Full,3.6,Gas,Automatic,Used,200000,Jeddah,431235000.0,Urban,Japan,8
Nissan,Patrol,2014,Saudi,Another Color,Semi Full,5.6,Gas,Automatic,Used,190000,Jazan,431235000.0,Suburban,Japan,10
Mercedes,C,2017,Other,Black,Full,2.0,Gas,Automatic,Used,86000,Jeddah,431235000.0,Urban,Europe,7
Toyota,Furniture,2019,Saudi,White,Standard,2.7,Gas,Automatic,Used,113000,Riyadh,431235000.0,Urban,Japan,5
Nissan,Patrol,2014,Saudi,White,Semi Full,5.6,Gas,Automatic,Used,200000,Dammam,431235000.0,Urban,Japan,10
Mazda,CX9,2016,Other,White,Full,2.5,Gas,Automatic,Used,104000,Dammam,431235000.0,Urban,Japan,8
Chevrolet,Tahoe,2016,Saudi,White,Semi Full,5.3,Gas,Automatic,Used,197000,Riyadh,431235000.0,Urban,USA,8
Chevrolet,Suburban,2015,Saudi,Another Color,Standard,5.3,Gas,Automatic,Used,201000,Dammam,431235000.0,Urban,USA,9
Lexus,ES,2015,Gulf Arabic,Black,Semi Full,3.5,Gas,Automatic,Used,104000,Riyadh,431235000.0,Urban,Japan,9
Toyota,Hilux,2016,Saudi,White,Full,2.7,Gas,Automatic,Used,2500,Dammam,431235000.0,Urban,Japan,8
Toyota,Hilux,2019,Gulf Arabic,White,Full,2.7,Gas,Automatic,Used,32595,Riyadh,431235000.0,Urban,Japan,5
Toyota,Camry,2020,Saudi,White,Full,2.5,Gas,Automatic,Used,10616,Al-Medina,429181500.0,Urban,Japan,4
Toyota,Furniture,2021,Saudi,Grey,Standard,2.7,Gas,Automatic,Used,16444,Riyadh,429181500.0,Urban,Japan,3
Toyota,Hilux,2020,Gulf Arabic,White,Semi Full,2.7,Gas,Manual,Used,27000,Riyadh,429181500.0,Urban,Japan,4
Ford,Expedition,2016,Saudi,Black,Semi Full,3.5,Gas,Automatic,Used,89531,Riyadh,429181500.0,Urban,USA,8
Isuzu,Dyna,2016,Saudi,White,Standard,1.5,Diesel,Manual,Used,420,Riyadh,427128000.0,Urban,Japan,8
Toyota,Hilux,2020,Gulf Arabic,White,Full,2.7,Gas,Manual,Used,53000,Riyadh,423021000.0,Urban,Japan,4
Chevrolet,Suburban,2016,Saudi,White,Standard,5.3,Gas,Automatic,Used,174000,Dammam,423021000.0,Urban,USA,8
Toyota,Rav4,2021,Other,White,Standard,4.0,Gas,Automatic,Used,5000,Jeddah,423021000.0,Urban,Japan,3
Toyota,Land Cruiser Pickup,2013,Saudi,Another Color,Full,4.0,Gas,Manual,Used,73000,Jeddah,423021000.0,Urban,Japan,11
Lexus,ES,2016,Other,White,Semi Full,3.5,Gas,Automatic,Used,95000,Al-Ahsa,423021000.0,Suburban,Japan,8
Toyota,Hilux,2020,Gulf Arabic,White,Semi Full,2.7,Gas,Manual,Used,49000,Riyadh,423021000.0,Urban,Japan,4
Land Rover,Range Rover,2013,Saudi,Grey,Full,3.0,Gas,Automatic,Used,48000,Riyadh,423021000.0,Urban,Europe,11
Toyota,Furniture,2019,Saudi,Black,Semi Full,2.7,Gas,Automatic,Used,20000,Jeddah,418914000.0,Urban,Japan,5
Mazda,CX5,2019,Saudi,Navy,Full,2.5,Gas,Automatic,Used,33000,Riyadh,418914000.0,Urban,Japan,5
Chevrolet,Tahoe,2015,Saudi,Golden,Standard,5.3,Gas,Automatic,Used,179,Riyadh,418914000.0,Urban,USA,9
Lexus,ES,2016,Other,White,Full,3.5,Gas,Automatic,Used,103000,Jeddah,418914000.0,Urban,Japan,8
Mercedes,C,2016,Other,White,Semi Full,2.0,Gas,Automatic,Used,76000,Riyadh,418914000.0,Urban,Europe,8
GMC,Yukon,2015,Saudi,Silver,Standard,5.3,Gas,Automatic,Used,170000,Arar,418914000.0,Suburban,USA,9
Lexus,IS,2015,Other,White,Full,2.2,Gas,Automatic,Used,94000,Dammam,418914000.0,Urban,Japan,9
Dodge,Charger,2019,Saudi,Another Color,Semi Full,3.6,Gas,Automatic,Used,76000,Qassim,418914000.0,Suburban,USA,5
Honda,Accord,2019,Gulf Arabic,White,Full,2.0,Gas,Automatic,Used,45000,Riyadh,418914000.0,Urban,Japan,5
Mercedes,C,2015,Gulf Arabic,Black,Standard,2.4,Gas,Automatic,Used,127000,Riyadh,418914000.0,Urban,Europe,9
Land Rover,Range Rover,2014,Saudi,Brown,Full,2.0,Gas,Automatic,Used,48000,Jeddah,410700000.0,Urban,Europe,10
Honda,Odyssey,2020,Saudi,Another Color,Standard,3.5,Gas,Automatic,Used,40000,Jeddah,410700000.0,Urban,Japan,4
Toyota,Land Cruiser,2011,Saudi,White,Full,4.0,Gas,Automatic,Used,349266,Riyadh,410700000.0,Urban,Japan,13
Toyota,Land Cruiser Pickup,2016,Gulf Arabic,Another Color,Semi Full,4.0,Gas,Manual,Used,214000,Dammam,410700000.0,Urban,Japan,8
Toyota,FJ,2016,Saudi,White,Standard,4.0,Gas,Automatic,Used,130,Jeddah,410700000.0,Urban,Japan,8
Toyota,Land Cruiser,2013,Saudi,White,Full,4.6,Gas,Automatic,Used,280,Najran,410700000.0,Suburban,Japan,11
HAVAL,H9,2020,Saudi,Brown,Full,2.0,Gas,Automatic,Used,18000,Dammam,410700000.0,Urban,China,4
Bentley,Flying Spur,2011,Saudi,Navy,Full,6.0,Gas,Automatic,Used,183000,Jeddah,410700000.0,Urban,Europe,13
Chevrolet,Tahoe,2015,Saudi,Bronze,Standard,5.3,Gas,Automatic,Used,188000,Riyadh,410700000.0,Urban,USA,9
Toyota,FJ,2016,Saudi,White,Full,4.0,Gas,Automatic,Used,208000,Dammam,410700000.0,Urban,Japan,8
Mazda,6,2020,Saudi,Navy,Full,2.5,Gas,Automatic,Used,50000,Riyadh,410700000.0,Urban,Japan,4
Mercedes,CLS,2014,Saudi,Brown,Full,3.5,Gas,Automatic,Used,130,Jeddah,410700000.0,Urban,Europe,10
Chevrolet,Silverado,2014,Saudi,Silver,Full,8.0,Gas,Automatic,Used,48000,Al-Medina,410700000.0,Urban,USA,10
Toyota,Land Cruiser,2013,Saudi,White,Semi Full,4.6,Gas,Automatic,Used,283,Al-Medina,410700000.0,Urban,Japan,11
Chevrolet,Suburban,2016,Saudi,Black,Standard,5.3,Gas,Automatic,Used,170000,Dammam,410700000.0,Urban,USA,8
Jeep,Grand Cherokee,2017,Saudi,Brown,Full,3.6,Gas,Automatic,Used,124,Riyadh,410700000.0,Urban,USA,7
Toyota,Land Cruiser,2011,Saudi,White,Full,4.0,Gas,Automatic,Used,273392,Riyadh,410700000.0,Urban,Japan,13
Porsche,Cayenne S,2013,Saudi,White,Full,4.8,Gas,Automatic,Used,219000,Riyadh,410700000.0,Urban,Europe,11
GMC,Sierra,2016,Saudi,Silver,Full,5.7,Gas,Automatic,Used,109000,Dammam,410700000.0,Urban,USA,8
Land Rover,Range Rover,2015,Saudi,Another Color,Full,2.0,Gas,Automatic,Used,113000,Dammam,410700000.0,Urban,Europe,9
Lincoln,MKX,2016,Other,White,Full,3.7,Gas,Automatic,Used,99000,Dammam,410700000.0,Urban,USA,8
Mercedes,ML,2015,Saudi,Silver,Full,3.5,Gas,Automatic,Used,125000,Jeddah,410700000.0,Urban,Europe,9
Toyota,FJ,2016,Saudi,White,Full,4.0,Gas,Automatic,Used,184000,Riyadh,410700000.0,Urban,Japan,8
GMC,Sierra,2015,Saudi,Silver,Full,4.4,Gas,Automatic,Used,76000,Dammam,410700000.0,Urban,USA,9
Nissan,Patrol,2014,Saudi,Grey,Full,4.65,Gas,Automatic,Used,265000,Jeddah,410700000.0,Urban,Japan,10
GMC,Sierra,2017,Saudi,Red,Full,5.3,Gas,Automatic,Used,160000,Riyadh,410700000.0,Urban,USA,7
Toyota,Furniture,2021,Saudi,Grey,Standard,2.7,Gas,Automatic,Used,3000,Makkah,410700000.0,Urban,Japan,3
Toyota,Land Cruiser,2014,Saudi,Black,Full,4.6,Gas,Automatic,Used,310000,Sakaka,410700000.0,Suburban,Japan,10
Toyota,Furniture,2021,Saudi,White,Standard,2.7,Gas,Automatic,Used,11000,Aseer,410700000.0,Suburban,Japan,3
Dodge,Charger,2020,Saudi,Grey,Standard,3.6,Gas,Automatic,Used,11000,Riyadh,410700000.0,Urban,USA,4
GMC,Sierra,2014,Saudi,White,Full,6.2,Gas,Automatic,Used,118000,Riyadh,410700000.0,Urban,USA,10
Chevrolet,Traverse,2020,Saudi,Silver,Standard,3.6,Gas,Automatic,Used,22800,Al-Medina,410700000.0,Urban,USA,4
Chevrolet,Tahoe,2015,Saudi,Golden,Standard,5.3,Gas,Automatic,Used,150000,Jeddah,410700000.0,Urban,USA,9
GMC,Yukon,2016,Saudi,Golden,Semi Full,5.5,Gas,Automatic,Used,145000,Al-Medina,410700000.0,Urban,USA,8
BMW,The 7,2014,Saudi,Silver,Full,3.0,Gas,Automatic,Used,116000,Al-Medina,410700000.0,Urban,Europe,10
Genesis,G80,2018,Saudi,Navy,Semi Full,3.8,Gas,Automatic,Used,160000,Riyadh,410700000.0,Urban,Korea,6
Mercedes,S,2011,Saudi,Grey,Full,3.6,Gas,Automatic,Used,189,Al-Medina,410700000.0,Urban,Europe,13
Toyota,Camry,2019,Saudi,Black,Full,2.5,Gas,Automatic,Used,13136,Riyadh,408646500.0,Urban,Japan,5
GMC,Sierra,2016,Saudi,Red,Standard,5.3,Gas,Automatic,Used,205544,Riyadh,408646500.0,Urban,USA,8
Chevrolet,Tahoe,2015,Saudi,Golden,Full,5.6,Gas,Automatic,Used,188000,Riyadh,408646500.0,Urban,USA,9
Porsche,Panamera,2011,Saudi,White,Full,5.7,Gas,Automatic,Used,108000,Al-Medina,406593000.0,Urban,Europe,13
Dodge,Charger,2016,Other,Red,Full,3.6,Gas,Automatic,Used,100000,Dammam,406593000.0,Urban,USA,8
Porsche,Panamera,2011,Saudi,Brown,Full,3.0,Gas,Automatic,Used,113000,Dammam,406593000.0,Urban,Europe,13
Mazda,CX9,2019,Saudi,Another Color,Full,2.5,Gas,Automatic,Used,89000,Riyadh,406593000.0,Urban,Japan,5
Dodge,Challenger,2017,Other,White,Full,3.6,Gas,Automatic,Used,113000,Dammam,406593000.0,Urban,USA,7
Jeep,Grand Cherokee,2017,Saudi,Grey,Full,5.7,Gas,Automatic,Used,102000,Dammam,406593000.0,Urban,USA,7
Ford,Mustang,2016,Other,Red,Full,2.3,Gas,Automatic,Used,84000,Dammam,406593000.0,Urban,USA,8
Hyundai,Azera,2020,Saudi,Another Color,Standard,3.5,Gas,Automatic,Used,39000,Jeddah,406593000.0,Urban,Korea,4
Lincoln,MKX,2016,Other,White,Full,3.7,Gas,Automatic,Used,99000,Dammam,406593000.0,Urban,USA,8
Mercedes,ML,2013,Saudi,Brown,Full,3.5,Gas,Automatic,Used,97000,Al-Medina,406593000.0,Urban,Europe,11
Nissan,Patrol,2015,Saudi,Grey,Standard,5.7,Gas,Automatic,Used,190000,Riyadh,406593000.0,Urban,Japan,9
GMC,Sierra,2017,Saudi,Silver,Full,5.3,Gas,Automatic,Used,174000,Dammam,406593000.0,Urban,USA,7
Nissan,VTC,2016,Saudi,White,Semi Full,4.8,Gas,Manual,Used,307801,Riyadh,406593000.0,Urban,Japan,8
Chevrolet,Tahoe,2015,Saudi,Brown,Standard,5.3,Gas,Automatic,Used,253000,Riyadh,406593000.0,Urban,USA,9
Dodge,Charger,2018,Saudi,Grey,Semi Full,3.6,Gas,Automatic,Used,124000,Al-Ahsa,406593000.0,Suburban,USA,6
Mercedes,Viano,2015,Saudi,Blue,Full,3.5,Gas,Automatic,Used,119000,Al-Medina,406593000.0,Urban,Europe,9
BMW,The 6,2014,Saudi,Grey,Full,3.0,Gas,Automatic,Used,206000,Khobar,402486000.0,Urban,Europe,10
Toyota,Prado,2015,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,Used,160000,Dammam,402486000.0,Urban,Japan,9
Ford,Mustang,2016,Other,Red,Semi Full,3.7,Gas,Automatic,Used,79000,Riyadh,402486000.0,Urban,USA,8
Lexus,ES,2016,Gulf Arabic,Bronze,Semi Full,2.6,Gas,Automatic,Used,92000,Dammam,402486000.0,Urban,Japan,8
Genesis,G80,2018,Saudi,White,Semi Full,3.8,Gas,Automatic,Used,97000,Riyadh,402486000.0,Urban,Korea,6
GMC,Yukon,2015,Saudi,Black,Full,6.2,Gas,Automatic,Used,216000,Besha,402486000.0,Suburban,USA,9
Genesis,G80,2018,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,Used,97000,Riyadh,402486000.0,Urban,Korea,6
GMC,Sierra,2016,Saudi,Red,Semi Full,5.3,Gas,Automatic,Used,205000,Riyadh,402486000.0,Urban,USA,8
Mercedes,E,2014,Saudi,Grey,Semi Full,3.5,Gas,Automatic,Used,95000,Dammam,402486000.0,Urban,Europe,10
Mercedes,S,2012,Saudi,Another Color,Full,3.0,Gas,Automatic,Used,105,Riyadh,402486000.0,Urban,Europe,12
MG,RX8,2020,Saudi,Brown,Full,2.0,Gas,Automatic,Used,23000,Al-Baha,402486000.0,Suburban,China,4
Toyota,FJ,2015,Saudi,White,Full,1.0,Gas,Automatic,Used,190000,Riyadh,402486000.0,Urban,Japan,9
Changan,CS85,2021,Saudi,Red,Full,2.0,Gas,Automatic,Used,2500,Jeddah,402486000.0,Urban,China,3
Mercedes,S,2011,Saudi,White,Full,3.8,Gas,Automatic,Used,203000,Al-Medina,402486000.0,Urban,Europe,13
Lexus,ES,2016,Other,Bronze,Semi Full,3.5,Gas,Automatic,Used,104000,Al-Ahsa,402486000.0,Suburban,Japan,8
Toyota,FJ,2016,Saudi,White,Full,4.0,Gas,Automatic,Used,148,Tabouk,402486000.0,Urban,Japan,8
Mercedes,E,2016,Other,Black,Standard,2.7,Gas,Automatic,Used,110440,Riyadh,402486000.0,Urban,Europe,8
GMC,Sierra,2015,Saudi,Silver,Standard,5.3,Gas,Automatic,Used,86000,Dammam,402486000.0,Urban,USA,9
Chevrolet,Tahoe,2015,Saudi,Silver,Standard,5.3,Gas,Automatic,Used,233000,Riyadh,402486000.0,Urban,USA,9
GMC,Sierra,2015,Saudi,Black,Full,5.3,Gas,Automatic,Used,86500,Riyadh,402486000.0,Urban,USA,9
Ford,Expedition,2016,Gulf Arabic,Black,Full,5.4,Gas,Automatic,Used,100000,Qassim,402486000.0,Suburban,USA,8
Ford,Expedition,2017,Gulf Arabic,White,Standard,3.5,Gas,Automatic,Used,90000,Riyadh,398379000.0,Urban,USA,7
Ford,Taurus,2019,Other,Red,Semi Full,3.5,Gas,Automatic,Used,108000,Dammam,398379000.0,Urban,USA,5
Toyota,Furniture,2019,Saudi,White,Standard,2.7,Gas,Automatic,Used,60000,Jeddah,398379000.0,Urban,Japan,5
Chevrolet,Tahoe,2016,Saudi,Blue,Semi Full,5.3,Gas,Automatic,Used,230,Riyadh,398379000.0,Urban,USA,8
Hyundai,Bus County,2016,Saudi,Bronze,Full,3.0,Diesel,Manual,Used,44000,Jeddah,398379000.0,Urban,Korea,8
Toyota,Land Cruiser,2011,Saudi,White,Full,4.6,Gas,Automatic,Used,360000,Dammam,398379000.0,Urban,Japan,13
Toyota,Land Cruiser,2012,Saudi,White,Full,4.6,Gas,Automatic,Used,405000,Riyadh,398379000.0,Urban,Japan,12
Chevrolet,Tahoe,2015,Saudi,Brown,Standard,5.3,Gas,Automatic,Used,199000,Dammam,398379000.0,Urban,USA,9
Ford,Mustang,2016,Other,Red,Full,3.9,Gas,Automatic,Used,84000,Dammam,398379000.0,Urban,USA,8
Honda,Accord,2018,Saudi,White,Semi Full,1.6,Gas,Automatic,Used,32000,Jeddah,398379000.0,Urban,Japan,6
Ford,Taurus,2018,Other,White,Semi Full,3.5,Gas,Automatic,Used,75000,Dammam,394272000.0,Urban,USA,6
Hyundai,Azera,2018,Saudi,Brown,Full,3.5,Gas,Automatic,Used,44000,Riyadh,394272000.0,Urban,Korea,6
Hummer,H-2,2008,Saudi,Blue,Full,6.2,Gas,Automatic,Used,208,Riyadh,394272000.0,Urban,USA,16
Land Rover,Range Rover,2015,Saudi,White,Standard,2.0,Gas,Automatic,Used,94000,Dammam,394272000.0,Urban,Europe,9
